,,,,,
id,lon,lat,hora,fecha,date
1,-75.59600,6.13500,15:11,2017-07-06,2017-07-06 15:11
2,-75.62500,6.22300,17:01,2017-07-06,2017-07-06 17:01
3,-75.61800,6.23200,17:12,2017-07-06,2017-07-06 17:12
4,-75.53800,6.22700,14:02,2017-07-07,2017-07-07 14:02
5,-75.62100,6.22800,16:03,2017-07-07,2017-07-07 16:03
6,-75.55300,6.22700,13:48,2017-07-08,2017-07-08 13:48
7,-75.56400,6.14100,16:37,2017-07-08,2017-07-08 16:37
8,-75.63700,6.24700,12:25,2017-07-10,2017-07-10 12:25
9,-75.62600,6.25000,12:40,2017-07-10,2017-07-10 12:40
10,-75.63200,6.28400,14:50,2017-07-10,2017-07-10 14:50
11,-75.61700,6.26200,15:10,2017-07-10,2017-07-10 15:10
12,-75.62500,6.23600,16:00,2017-07-10,2017-07-10 16:00
13,-75.60900,6.26500,14:56,2017-07-11,2017-07-11 14:56
14,-75.61500,6.21600,12:00,2017-07-12,2017-07-12 12:00
15,-75.53800,6.24500,8:44,2017-07-13,2017-07-13 8:44
16,-75.58800,6.32600,11:35,2017-07-13,2017-07-13 11:35
17,-75.57900,6.34700,12:15,2017-07-13,2017-07-13 12:15
18,-75.62100,6.21500,15:50,2017-07-13,2017-07-13 15:50
19,-75.58500,6.37800,20:24,2017-07-13,2017-07-13 20:24
20,-75.62900,6.26400,12:43,2017-07-14,2017-07-14 12:43
21,-75.62100,6.23100,16:40,2017-07-15,2017-07-15 16:40
22,-75.64100,6.26400,11:40,2017-07-16,2017-07-16 11:40
23,-75.59200,6.30000,13:04,2017-07-16,2017-07-16 13:04
24,-75.63600,6.27100,12:01,2017-07-18,2017-07-18 12:01
25,-75.63600,6.27100,14:14,2017-07-18,2017-07-18 14:14
26,-75.63900,6.26700,14:55,2017-07-18,2017-07-18 14:55
27,-75.62000,6.27000,15:02,2017-07-18,2017-07-18 15:02
28,-75.60700,6.28700,15:20,2017-07-18,2017-07-18 15:20
29,-75.62437,6.24228,11:00,2017-07-20,2017-07-20 11:00
30,-75.61700,6.26300,14:25,2017-07-23,2017-07-23 14:25
31,-75.61800,6.26900,10:41,2017-07-24,2017-07-24 10:41
32,-75.63100,6.23200,13:48,2017-07-24,2017-07-24 13:48
33,-75.63122,6.25393,15:40,2017-07-24,2017-07-24 15:40
34,-75.52183,6.29825,16:35,2017-07-24,2017-07-24 16:35
35,-75.61120,6.21170,17:50,2017-07-24,2017-07-24 17:50
36,-75.63958,6.26578,10:50,2017-07-25,2017-07-25 10:50
37,-75.64030,6.25350,15:20,2017-07-26,2017-07-26 15:20
38,-75.62660,6.27230,14:00,2017-07-27,2017-07-27 14:00
39,-75.57100,6.36040,11:38,2017-07-28,2017-07-28 11:38
40,-75.60700,6.13920,15:23,2017-07-28,2017-07-28 15:23
41,-75.62370,6.31000,16:30,2017-07-29,2017-07-29 16:30
42,-75.66280,6.31000,13:40,2017-07-30,2017-07-30 13:40
43,-75.63480,6.26600,13:59,2017-07-30,2017-07-30 13:59
